Model,MAE,MSE,RMSE,R2 Score
Linear Regression,17364.5756178057,898267893.9372294,29971.117662463465,0.8879622670574386
Decision Tree,25049.93003412969,1488490421.8037543,38580.95931678934,0.8143459278783227
Random Forest,15260.489624573378,616298348.052991,24825.356957211934,0.9231313172850327
